Alkan;Retentionszeit
6;
7;
8;
9;
10;
11;6,13
12;8,227
13;10,44
14;12,609
15;14,747
16;16,77
17;18,693
18;20,543
19;22,294
20;23,986
21;25,592
22;27,138
23;28,621
24;30,057
25;31,432
26;32,754
27;34,032
28;35,281
29;36,482
30;37,668
31;39,037
32;40,678
33;42,657
34;45,089
35;
36;
37;
38;
39;
40;
