RI,Value
1241.4369633981,10751
1241.6629010393,11767
1241.9340262088,12481
1242.15996385,13176
1242.3859014912,12782
1242.6570266606,13051
1242.8829643019,11370
1243.1540894713,11386
1243.3800271125,9902
1243.6059647537,10371
1243.8770899232,10535
1244.1030275644,9987
1244.3741527338,9981
1244.6000903751,10434
1244.8260280163,12124
1245.0971531857,12484
1245.3230908269,11422
1245.5942159964,11868
1245.8201536376,12217
1246.0460912788,11020
1246.3172164483,10182
1246.5431540895,9955
1246.8142792589,10769
1247.0402169001,10258
1247.2661545413,10037
1247.5372797108,9753
1247.763217352,10475
1248.0343425215,10064
1248.2602801627,9432
1248.4862178039,9030
1248.7573429733,8794
1248.9832806146,9117
1249.254405784,9140
1249.4803434252,8536
1249.7062810664,8764
1249.9774062359,10137
1250.2033438771,9877
1250.4744690465,10351
1250.7004066878,11815
1250.926344329,14037
1251.1974694984,15455
1251.4234071396,16623
1251.6945323091,17312
1251.9204699503,20089
1252.1464075915,21391
1252.417532761,23682
1252.6434704022,23134
1252.9145955716,25163
1253.1405332128,25655
1253.366470854,27010
1253.6375960235,25189
1253.8635336647,25017
1254.1346588342,22542
1254.3605964754,21278
1254.5865341166,18050
1254.857659286,18794
1255.0835969272,17455
1255.3547220967,16016
1255.5806597379,13975
1255.8065973791,14039
1256.0777225486,12532
1256.3036601898,11607
1256.5747853592,11809
1256.8007230005,10450
1257.0266606417,9930
1257.2977858111,10574
1257.5237234523,10512
1257.7948486218,11099
1258.020786263,10352
1258.2467239042,10006
1258.5178490737,10602
1258.7437867149,10665
1259.0149118843,9811
1259.2408495255,9962
1259.4667871667,9764
1259.7379123362,10367
1259.9638499774,10233
1260.2349751469,9361
1260.4609127881,9111
1260.6868504293,9072
1260.9579755987,8889
1261.1839132399,9648
1261.4550384094,9371
1261.6809760506,9987
1261.9069136918,9155
1262.1780388613,9601
1262.4039765025,8950
1262.6751016719,9529
1262.9010393131,9206
1263.1269769544,8995
1263.3981021238,8753
1263.624039765,8954
1263.8951649345,9036
1264.1211025757,8772
1264.3470402169,9332
1264.6181653864,9736
1264.8441030276,9118
1265.115228197,9769
1265.3411658382,9934
1265.5671034794,9307
1265.8382286489,9563
1266.0641662901,8540
1266.3352914596,10740
1266.5612291008,10851
1266.8323542702,10998
1267.0582919114,11853
1267.2842295526,12464
1267.5553547221,13067
1267.7812923633,13721
1268.0524175328,13569
1268.278355174,13753
1268.5042928152,13298
1268.7754179846,14592
1269.0013556258,13559
1269.2724807953,13043
1269.4984184365,13537
1269.7243560777,12804
1269.9954812472,12999
1270.2214188884,11804
1270.4925440578,11756
1270.7184816991,10973
1270.9444193403,11759
1271.2155445097,10264
1271.4414821509,9076
1271.7126073204,10170
1271.9385449616,10249
1272.1644826028,9851
1272.4356077723,9061
1272.6615454135,9257
1272.9326705829,10049
1273.1586082241,8635
1273.3845458653,8825
1273.6556710348,8919
1273.881608676,8451
1274.1527338455,9416
1274.3786714867,9158
1274.6046091279,8707
1274.8757342973,8634
1275.1016719385,9359
1275.372797108,9811
1275.5987347492,8742
1275.8246723904,8911
1276.0957975599,9680
1276.3217352011,9682
1276.5928603705,10498
1276.8187980117,9442
1277.044735653,9594
1277.3158608224,10231
1277.5417984636,9525
1277.8129236331,9709
1278.0388612743,9775
1278.2647989155,9900
1278.535924085,10535
1278.7618617262,10939
1279.0329868956,10689
1279.2589245368,10404
1279.484862178,9949
1279.7559873475,10793
1279.9819249887,10930
1280.2530501582,12283
1280.4789877994,13530
1280.7049254406,13559
1280.97605061,14785
1281.2019882512,16557
1281.4731134207,16883
1281.6990510619,19273
1281.9249887031,22437
1282.1961138726,25970
1282.4220515138,33808
1282.6931766832,41882
1282.9191143244,49015
1283.1450519657,55840
1283.4161771351,59771
1283.6421147763,68584
1283.9132399458,76311
1284.139177587,85945
1284.3651152282,95309
1284.6362403977,101729
1284.8621780389,107618
1285.1333032083,101799
1285.3592408495,91936
1285.5851784907,83919
1285.8563036602,73925
1286.0822413014,62762
1286.3533664709,54164
1286.5793041121,46912
1286.8052417533,43519
1287.0763669227,40293
1287.3023045639,37920
1287.5734297334,32554
1287.7993673746,30182
1288.0253050158,28328
1288.2964301853,23480
1288.5223678265,20159
1288.7934929959,18165
