URL	chrom://isq7ci1912004/ChromeleonLocal/AK Simat/2024/PVC Lina/2024-02_Vorversuche/2024-02_PVC-Tischde.seq/220.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024-02_PVC-Tischde
Name	PVC-Tischdecke µC A 0,2g 50C 30min Split 1:20
Number	2
Position	66
Comment	ODP Lina
Processing Method	MS Quantitative
Instrument Method	manualTD-WAX-MS-O_L1
Type	Calibration Standard
Status	Finished
Inject Time	2/21/2024 9:15:20 AM +01:00
Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033905
Time Max. (min)	50.003447
Data Points	55452
Detector	MSDevice
Generating Data System	Chromeleon 7.2.10 Build 23925 (cfd1e7af542fd56c07b8e0c2791055c459cfcf14)
Exporting Data System	Chromeleon 7.2.10.0
Operator	ISQ7000
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	13,079,911.128393
Signal Max.	5,872,703,630.459210
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.054
Max. Step (s)	0.0541
Average Step (s)	0.05406886

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
2.505753	0.054	25,415,028.258514
2.506655	0.0541	25,655,565.819307
2.507557	0.0541	25,788,827.934905
2.508457	0.054	25,783,916.476339
2.509358	0.0541	25,779,294.518354
2.510260	0.0541	25,839,843.671978
2.511162	0.0541	26,016,049.840237
2.512062	0.054	26,062,026.566390
2.512963	0.0541	25,861,306.536553
2.513865	0.0541	25,604,003.300592
2.514765	0.054	25,243,829.699936
2.515667	0.0541	24,972,390.081820
2.516568	0.0541	25,080,663.915576
2.517468	0.054	25,325,966.127197
2.518370	0.0541	25,574,319.736431
2.519272	0.0541	25,631,675.666656
2.520172	0.054	25,461,034.051073
2.521073	0.0541	25,405,457.206252
2.521975	0.0541	25,490,842.866398
2.522875	0.054	25,505,783.968572
2.523777	0.0541	25,293,417.489677
2.524678	0.0541	25,062,699.196585
2.525580	0.0541	25,113,365.798329
2.526480	0.054	25,423,837.479700
2.527382	0.0541	25,718,746.075528
2.528283	0.0541	25,714,184.436699
2.529183	0.054	25,528,283.687837
2.530085	0.0541	25,372,168.111131
2.530987	0.0541	25,420,942.816023
2.531887	0.054	25,842,783.882055
2.532788	0.0541	26,292,018.027752
2.533690	0.0541	26,291,972.124582
2.534590	0.054	25,899,516.100787
2.535492	0.0541	25,714,629.158338
2.536393	0.0541	26,255,847.093344
2.537293	0.054	27,092,925.864828
2.538195	0.0541	27,635,408.365130
2.539097	0.0541	27,832,049.650578
2.539998	0.0541	27,860,427.427495
2.540898	0.054	28,173,282.969596
2.541800	0.0541	28,633,889.675536
2.542702	0.0541	28,598,925.455849
2.543602	0.054	28,297,880.277832
2.544503	0.0541	28,561,082.569098
2.545405	0.0541	29,215,601.952965
2.546305	0.054	29,415,775.445394
2.547207	0.0541	29,074,782.015317
2.548108	0.0541	28,694,588.326616
2.549008	0.054	28,706,200.180272
2.549910	0.0541	29,128,920.385606
2.550812	0.0541	29,716,156.905957
2.551713	0.0541	29,991,114.117869
2.552613	0.054	29,816,259.492570
2.553515	0.0541	29,609,695.067232
2.554417	0.0541	29,569,813.258566
2.555317	0.054	29,609,477.531457
2.556218	0.0541	29,502,237.399912
2.557120	0.0541	29,258,817.974715
2.558020	0.054	29,045,117.792399
2.558922	0.0541	28,824,742.153775
2.559823	0.0541	28,592,539.906715
2.560723	0.054	28,469,069.907388
2.561625	0.0541	28,529,248.781791
2.562527	0.0541	28,793,500.961819
2.563427	0.054	29,150,444.665038
2.564328	0.0541	29,413,596.635158
2.565230	0.0541	29,829,809.266244
2.566132	0.0541	30,318,316.198359
2.567032	0.054	30,425,488.430100
2.567933	0.0541	30,307,847.788573
2.568835	0.0541	30,277,626.250720
2.569735	0.054	30,298,453.383635
2.570637	0.0541	30,031,057.484100
2.571538	0.0541	29,426,642.053287
2.572438	0.054	28,872,607.402048
2.573340	0.0541	28,643,228.022291
2.574242	0.0541	28,705,645.977701
2.575142	0.054	28,823,379.135093
2.576043	0.0541	28,778,001.016379
2.576945	0.0541	28,297,011.067657
2.577847	0.0541	27,552,922.499703
2.578747	0.054	27,198,262.178249
2.579648	0.0541	27,188,113.006007
2.580550	0.0541	26,961,308.738565
2.581450	0.054	26,511,941.899500
2.582352	0.0541	26,206,188.222021
2.583253	0.0541	26,079,628.026499
2.584153	0.054	25,916,551.466584
2.585055	0.0541	25,603,727.123164
2.585957	0.0541	25,396,323.960056
2.586857	0.054	25,537,541.388021
2.587758	0.0541	25,924,873.900131
2.588660	0.0541	26,331,091.331654
2.589560	0.054	26,441,018.020334
2.590462	0.0541	26,384,294.054244
2.591363	0.0541	26,450,410.352311
2.592265	0.0541	26,503,737.890543
2.593165	0.054	26,507,701.900149
2.594067	0.0541	26,434,825.738748
2.594968	0.0541	26,191,697.522449
2.595868	0.054	26,109,200.902329
2.596770	0.0541	26,324,016.497106
2.597672	0.0541	26,397,716.009537
2.598572	0.054	26,167,400.201429
2.599473	0.0541	25,871,133.394215
2.600375	0.0541	26,045,609.348098
2.601275	0.054	26,710,259.695658
2.602177	0.0541	27,113,291.676495
2.603078	0.0541	27,196,211.057372
2.603978	0.054	27,390,599.064577
2.604880	0.0541	27,731,117.948269
2.605782	0.0541	28,029,716.819337
2.606683	0.0541	28,190,052.297559
2.607583	0.054	28,388,138.520114
2.608485	0.0541	28,623,565.463726
2.609387	0.0541	28,681,450.733478
2.610287	0.054	28,493,556.043863
2.611188	0.0541	28,131,251.644999
2.612090	0.0541	27,931,967.868454
2.612990	0.054	27,892,454.633941
2.613892	0.0541	27,701,945.211684
2.614793	0.0541	27,455,160.464009
2.615693	0.054	27,129,638.070797
2.616595	0.0541	26,685,492.478747
2.617497	0.0541	26,434,078.696142
2.618397	0.054	26,219,311.175622
2.619298	0.0541	25,829,601.722676
2.620200	0.0541	25,675,068.747613
2.621102	0.0541	25,825,978.712972
2.622002	0.054	25,917,749.881397
2.622903	0.0541	25,762,076.684611
2.623805	0.0541	25,563,957.856352
2.624705	0.054	25,666,121.518910
2.625607	0.0541	25,665,821.169684
2.626508	0.0541	25,186,238.715465
2.627408	0.054	24,737,969.282556
2.628310	0.0541	24,508,352.817457
2.629212	0.0541	24,340,398.472077
2.630112	0.054	24,462,183.829652
2.631013	0.0541	24,786,009.432463
2.631915	0.0541	24,879,609.377469
2.632817	0.0541	24,702,594.580862
2.633717	0.054	24,500,620.325808
2.634618	0.0541	24,490,268.181909
2.635520	0.0541	24,598,325.092985
2.636420	0.054	24,647,937.391322
2.637322	0.0541	24,661,077.444346
2.638223	0.0541	24,532,307.640629
2.639123	0.054	24,283,832.178342
2.640025	0.0541	24,252,977.092990
2.640927	0.0541	24,532,951.536344
2.641827	0.054	24,714,767.538439
2.642728	0.0541	24,439,781.888928
2.643630	0.0541	24,056,113.468850
2.644530	0.054	24,113,024.007422
2.645432	0.0541	24,258,673.468840
2.646333	0.0541	24,060,236.779016
2.647235	0.0541	24,105,823.164446
2.648135	0.054	24,624,374.801532
2.649037	0.0541	25,236,857.407476
2.649938	0.0541	25,793,270.600452
2.650838	0.054	26,205,372.655411
2.651740	0.0541	26,501,542.257473
2.652642	0.0541	26,670,172.398516
2.653542	0.054	26,792,970.964974
2.654443	0.0541	27,043,959.314763
2.655345	0.0541	27,277,220.261079
2.656245	0.054	27,118,428.882179
2.657147	0.0541	26,854,263.407638
2.658048	0.0541	27,317,157.795206
2.658948	0.054	28,305,541.778804
2.659850	0.0541	29,078,694.235005
2.660752	0.0541	29,463,321.055349
2.661653	0.0541	29,699,866.257530
2.662553	0.054	30,005,602.096717
2.663455	0.0541	30,343,103.856118
2.664357	0.0541	30,842,635.186137
2.665257	0.054	31,592,302.834178
2.666158	0.0541	32,161,252.060537
2.667060	0.0541	32,288,851.654442
2.667960	0.054	32,243,518.814873
2.668862	0.0541	32,137,280.999998
2.669763	0.0541	31,780,801.830830
2.670663	0.054	31,214,389.781199
2.671565	0.0541	30,821,180.431768
2.672467	0.0541	30,630,818.206708
2.673368	0.0541	30,438,827.411664
2.674268	0.054	30,487,961.226837
2.675170	0.0541	30,819,211.223276
2.676072	0.0541	31,071,195.456666
2.676972	0.054	31,247,160.437150
2.677873	0.0541	31,180,425.963417
2.678775	0.0541	30,299,754.127749
2.679675	0.054	29,254,456.110552
2.680577	0.0541	28,837,428.970873
2.681478	0.0541	28,614,786.301611
2.682378	0.054	28,288,181.000282
2.683280	0.0541	28,058,730.068203
2.684182	0.0541	28,077,640.657240
2.685082	0.054	28,040,685.474084
2.685983	0.0541	27,880,256.071036
2.686885	0.0541	27,851,941.711437
2.687787	0.0541	27,783,899.133486
2.688687	0.054	27,513,928.154723
2.689588	0.0541	27,245,437.092684
2.690490	0.0541	27,145,725.677249
2.691390	0.054	27,111,503.101817
2.692292	0.0541	27,240,574.507974
2.693193	0.0541	27,526,941.084126
2.694093	0.054	27,725,071.084236
2.694995	0.0541	27,638,202.811064
2.695897	0.0541	27,002,864.830250
2.696797	0.054	26,132,312.433082
2.697698	0.0541	25,575,839.147641
2.698600	0.0541	25,548,376.002581
2.699500	0.054	25,788,493.686606
2.700402	0.0541	25,990,226.034235
2.701303	0.0541	26,352,607.218936
2.702205	0.0541	26,786,811.794661
2.703105	0.054	26,957,241.911573
2.704007	0.0541	26,859,259.326413
2.704908	0.0541	26,682,447.534349
2.705808	0.054	26,447,966.230554
2.706710	0.0541	26,006,621.091644
2.707612	0.0541	25,516,264.997998
2.708512	0.054	25,341,661.847104
2.709413	0.0541	25,438,924.617878
2.710315	0.0541	25,640,497.067813
2.711215	0.054	25,741,493.069717
2.712117	0.0541	25,566,054.338920
2.713018	0.0541	25,219,607.643733
2.713920	0.0541	24,692,743.738294
2.714820	0.054	24,105,298.211892
2.715722	0.0541	23,815,668.082274
2.716623	0.0541	23,991,658.306253
2.717523	0.054	24,404,132.761603
2.718425	0.0541	24,564,561.876105
2.719327	0.0541	24,335,420.118780
2.720227	0.054	24,174,613.022498
2.721128	0.0541	24,223,115.021645
2.722030	0.0541	24,185,376.422462
2.722930	0.054	24,123,392.008105
2.723832	0.0541	24,020,123.722301
2.724733	0.0541	23,673,599.537558
2.725633	0.054	23,291,319.917876
2.726535	0.0541	23,015,840.498928
2.727437	0.0541	22,859,394.124303
2.728338	0.0541	23,040,063.015878
2.729238	0.054	23,476,052.139804
2.730140	0.0541	23,943,246.206705
2.731042	0.0541	24,333,369.317455
2.731942	0.054	24,492,255.788022
2.732843	0.0541	24,389,984.676737
2.733745	0.0541	24,301,386.072518
2.734645	0.054	24,343,509.214482
2.735547	0.0541	24,186,578.866722
2.736448	0.0541	23,893,524.351389
2.737348	0.054	23,726,703.278450
2.738250	0.0541	23,615,793.747434
2.739152	0.0541	23,648,995.435650
2.740052	0.054	23,907,045.448985
2.740953	0.0541	24,168,590.105614
2.741855	0.0541	24,250,907.485646
2.742757	0.0541	24,268,454.334562
2.743657	0.054	24,382,005.260482
2.744558	0.0541	24,502,457.968873
2.745460	0.0541	24,583,813.365523
2.746360	0.054	24,591,665.848351
2.747262	0.0541	24,334,308.413829
2.748163	0.0541	23,927,038.622024
2.749063	0.054	23,598,911.953710
2.749965	0.0541	23,399,707.285611
2.750867	0.0541	23,422,723.064578
2.751767	0.054	23,597,577.030535
2.752668	0.0541	23,608,569.407377
2.753570	0.0541	23,431,149.435155
2.754472	0.0541	23,435,874.734513
2.755372	0.054	23,354,791.150201
2.756273	0.0541	22,798,860.342064
2.757175	0.0541	22,261,486.530818
2.758075	0.054	22,161,978.369678
2.758977	0.0541	22,336,532.386540
2.759878	0.0541	22,545,305.375838
2.760778	0.054	22,797,941.597659
2.761680	0.0541	23,119,051.743238
2.762582	0.0541	23,272,306.149350
2.763482	0.054	23,052,372.268243
2.764383	0.0541	22,685,416.580270
2.765285	0.0541	22,477,149.971304
2.766185	0.054	22,561,385.601745
2.767087	0.0541	22,932,344.871547
2.767988	0.0541	23,181,111.014635
2.768890	0.0541	22,995,471.771277
2.769790	0.054	22,779,018.190876
2.770692	0.0541	22,815,161.822850
2.771593	0.0541	22,759,277.760067
2.772493	0.054	22,492,944.058704
2.773395	0.0541	22,317,728.623933
2.774297	0.0541	22,309,078.212979
2.775197	0.054	22,397,320.711362
2.776098	0.0541	22,576,391.303806
2.777000	0.0541	22,619,009.303371
2.777900	0.054	22,466,913.666054
2.778802	0.0541	22,326,440.208286
2.779703	0.0541	22,261,024.735560
2.780603	0.054	22,107,978.793420
2.781505	0.0541	21,833,411.067220
2.782407	0.0541	21,783,447.093550
2.783308	0.0541	22,046,544.166781
2.784208	0.054	22,383,070.113248
2.785110	0.0541	22,681,913.269399
2.786012	0.0541	22,916,375.712146
2.786912	0.054	23,053,617.137557
2.787813	0.0541	23,116,421.666693
2.788715	0.0541	23,246,485.560885
2.789615	0.054	23,332,064.846975
2.790517	0.0541	23,171,959.074925
2.791418	0.0541	23,042,458.782985
2.792318	0.054	23,043,055.659895
2.793220	0.0541	22,885,716.607148
2.794122	0.0541	22,749,333.404923
2.795022	0.054	22,812,007.080352
2.795923	0.0541	22,642,549.531947
2.796825	0.0541	22,265,318.802070
2.797727	0.0541	22,146,128.706907
2.798627	0.054	22,317,800.231713
2.799528	0.0541	22,672,377.713319
2.800430	0.0541	23,074,488.371399
2.801330	0.054	23,425,464.016613
2.802232	0.0541	23,767,266.738593
2.803133	0.0541	24,022,842.095549
2.804033	0.054	24,140,859.081314
2.804935	0.0541	24,174,725.176149
2.805837	0.0541	24,216,440.266428
2.806737	0.054	24,265,505.063149
2.807638	0.0541	24,040,433.714110
2.808540	0.0541	23,766,644.595379
2.809440	0.054	23,998,015.293177
2.810342	0.0541	24,610,185.644866
2.811243	0.0541	25,161,747.130265
2.812145	0.0541	25,321,970.381856
2.813045	0.054	25,318,965.384057
2.813947	0.0541	25,643,931.085824
2.814848	0.0541	26,296,882.146562
2.815748	0.054	26,891,111.691449
2.816650	0.0541	27,118,094.138218
2.817552	0.0541	27,104,155.674131
2.818452	0.054	26,963,700.943929
2.819353	0.0541	26,752,070.231752
2.820255	0.0541	26,733,267.459413
2.821155	0.054	26,821,918.976568
2.822057	0.0541	26,661,236.459596
2.822958	0.0541	26,483,511.800838
2.823860	0.0541	26,560,932.092813
2.824760	0.054	26,608,852.229713
2.825662	0.0541	26,304,619.749198
2.826563	0.0541	25,837,975.594695
2.827463	0.054	25,612,472.783125
2.828365	0.0541	25,331,161.876067
2.829267	0.0541	24,839,118.771104
2.830167	0.054	24,622,375.423503
2.831068	0.0541	24,681,355.031625
2.831970	0.0541	24,721,547.541001
2.832870	0.054	24,895,477.160043
2.833772	0.0541	25,154,322.423495
2.834673	0.0541	25,189,017.704834
2.835573	0.054	25,044,628.125616
2.836475	0.0541	25,057,550.020644
2.837377	0.0541	25,293,746.602249
2.838278	0.0541	25,296,667.268974
2.839178	0.054	25,026,118.030779
2.840080	0.0541	24,667,319.087798
2.840982	0.0541	24,236,824.084671
2.841882	0.054	24,217,083.734713
2.842783	0.0541	24,440,563.168730
2.843685	0.0541	24,308,364.415805
2.844585	0.054	24,275,779.585069
2.845487	0.0541	24,358,765.576072
2.846388	0.0541	24,112,098.166474
2.847288	0.054	23,935,781.818469
2.848190	0.0541	23,991,121.659911
2.849092	0.0541	24,031,073.945477
2.849992	0.054	24,096,705.708124
2.850893	0.0541	23,987,579.802086
2.851795	0.0541	23,548,029.920424
2.852697	0.0541	23,285,280.335497
2.853597	0.054	23,353,958.652715
2.854498	0.0541	23,501,912.530266
2.855400	0.0541	23,676,568.257583
2.856300	0.054	23,631,794.367498
2.857202	0.0541	23,395,593.580550
2.858103	0.0541	23,081,151.309964
2.859003	0.054	22,889,842.214492
2.859905	0.0541	23,071,792.427392
2.860807	0.0541	23,178,302.329897
2.861707	0.054	22,883,254.160297
2.862608	0.0541	22,438,911.908519
2.863510	0.0541	22,201,101.293404
2.864412	0.0541	22,098,923.674987
2.865312	0.054	22,006,017.009138
2.866213	0.0541	22,239,194.745963
2.867115	0.0541	22,765,867.019021
2.868015	0.054	23,022,042.294172
2.868917	0.0541	23,002,297.747382
2.869818	0.0541	23,111,583.726743
2.870718	0.054	23,225,142.431414
2.871620	0.0541	23,245,981.742398
2.872522	0.0541	23,346,285.942440
2.873422	0.054	23,422,792.009664
2.874323	0.0541	23,476,732.265336
2.875225	0.0541	23,695,982.364795
2.876125	0.054	23,891,308.943306
2.877027	0.0541	23,758,987.142350
2.877928	0.0541	23,514,683.802356
2.878830	0.0541	23,599,668.592603
2.879730	0.054	23,971,571.314361
2.880632	0.0541	24,265,634.602681
2.881533	0.0541	24,397,958.320042
2.882433	0.054	24,514,601.596101
2.883335	0.0541	24,556,260.797834
2.884237	0.0541	24,605,279.862199
2.885137	0.054	24,638,944.972905
2.886038	0.0541	24,536,442.950070
2.886940	0.0541	24,551,034.213904
2.887840	0.054	24,605,876.435779
2.888742	0.0541	24,583,043.722527
2.889643	0.0541	24,565,130.837874
2.890543	0.054	24,606,434.841684
2.891445	0.0541	24,711,930.714301
2.892347	0.0541	24,796,621.437737
2.893248	0.0541	24,938,271.597961
2.894148	0.054	25,112,707.331687
2.895050	0.0541	25,105,276.682855
2.895952	0.0541	24,712,809.408732
2.896852	0.054	23,996,582.273594
2.897753	0.0541	23,388,191.049154
2.898655	0.0541	22,989,532.823833
2.899555	0.054	22,722,931.124839
2.900457	0.0541	22,954,675.787151
2.901358	0.0541	23,478,724.357294
2.902258	0.054	23,800,714.789375
2.903160	0.0541	24,036,325.786201
2.904062	0.0541	24,281,681.807445
2.904962	0.054	24,518,110.631190
2.905863	0.0541	24,502,554.356214
2.906765	0.0541	24,043,643.045556
2.907667	0.0541	23,544,720.872840
2.908567	0.054	23,512,198.630660
2.909468	0.0541	23,845,917.568352
2.910370	0.0541	24,073,950.642960
2.911270	0.054	24,131,979.912190
2.912172	0.0541	24,217,959.976547
2.913073	0.0541	24,316,446.204894
2.913973	0.054	24,391,750.480700
2.914875	0.0541	24,441,878.203544
2.915777	0.0541	24,428,477.975748
2.916677	0.054	24,592,155.872379
2.917578	0.0541	25,129,833.954932
2.918480	0.0541	25,773,487.837247
2.919380	0.054	26,221,252.070886
2.920282	0.0541	26,532,188.245958
2.921183	0.0541	26,732,980.918632
2.922085	0.0541	26,703,931.740439
2.922985	0.054	26,710,371.834802
2.923887	0.0541	27,081,973.253660
2.924788	0.0541	27,713,154.978875
2.925688	0.054	28,476,308.749542
2.926590	0.0541	29,349,909.581292
2.927492	0.0541	30,179,286.420622
2.928392	0.054	30,771,553.758633
2.929293	0.0541	30,973,219.298144
2.930195	0.0541	30,742,631.213548
2.931095	0.054	30,623,684.019994
2.931997	0.0541	30,892,160.015858
2.932898	0.0541	30,948,746.000300
2.933798	0.054	30,930,972.781825
2.934700	0.0541	31,262,669.774589
2.935602	0.0541	31,186,942.259824
2.936503	0.0541	30,207,572.928689
2.937403	0.054	29,334,902.093120
2.938305	0.0541	29,333,943.031451
2.939207	0.0541	29,885,275.155419
2.940107	0.054	30,686,954.950496
2.941008	0.0541	31,230,534.850482
2.941910	0.0541	30,754,902.273454
2.942810	0.054	29,749,304.797106
2.943712	0.0541	29,225,025.201069
2.944613	0.0541	28,928,460.673544
2.945513	0.054	28,449,168.905264
2.946415	0.0541	27,864,340.891009
2.947317	0.0541	27,301,938.066009
2.948218	0.0541	26,982,363.628611
2.949118	0.054	26,915,942.297932
2.950020	0.0541	26,958,426.272948
2.950922	0.0541	27,032,049.616838
2.951822	0.054	27,020,272.975912
2.952723	0.0541	26,988,586.949952
2.953625	0.0541	27,136,873.394527
2.954525	0.054	27,162,680.847191
2.955427	0.0541	26,820,859.506305
2.956328	0.0541	26,298,519.974089
2.957228	0.054	25,850,895.053940
2.958130	0.0541	25,564,123.451564
2.959032	0.0541	25,437,620.735791
2.959932	0.054	25,396,170.630493
2.960833	0.0541	25,300,159.679289
2.961735	0.0541	25,350,888.147212
2.962637	0.0541	25,520,419.930380
2.963537	0.054	25,832,413.736000
2.964438	0.0541	25,990,713.629780
2.965340	0.0541	25,463,123.263927
2.966240	0.054	24,875,251.468949
2.967142	0.0541	24,642,969.372929
2.968043	0.0541	24,423,863.355487
2.968943	0.054	24,209,262.513133
2.969845	0.0541	24,339,852.409027
2.970747	0.0541	24,739,344.837492
2.971647	0.054	24,826,092.301078
2.972548	0.0541	24,497,124.937127
2.973450	0.0541	24,147,008.841786
2.974350	0.054	23,941,789.663752
2.975252	0.0541	23,706,680.845535
2.976153	0.0541	23,526,632.062815
2.977055	0.0541	23,726,844.453979
2.977955	0.054	24,070,358.327603
2.978857	0.0541	24,162,169.252017
2.979758	0.0541	23,953,350.173703
2.980658	0.054	23,447,616.541219
2.981560	0.0541	22,992,116.381451
2.982462	0.0541	22,890,184.749921
2.983362	0.054	22,791,487.879480
2.984263	0.0541	22,650,985.775991
2.985165	0.0541	22,911,825.322570
2.986065	0.054	23,549,195.087534
2.986967	0.0541	23,992,379.884360
2.987868	0.0541	23,999,602.938366
2.988768	0.054	23,991,828.072845
2.989670	0.0541	24,002,545.561381
2.990572	0.0541	23,898,459.718509
2.991473	0.0541	23,917,603.914457
2.992373	0.054	23,950,348.614632
2.993275	0.0541	23,760,452.812345
2.994177	0.0541	23,347,650.249939
2.995077	0.054	22,805,559.885447
2.995978	0.0541	22,441,203.696596
2.996880	0.0541	22,481,149.585374
2.997780	0.054	22,691,606.457014
2.998682	0.0541	22,817,019.173341
2.999583	0.0541	22,973,851.622821
3.000483	0.054	23,185,471.319054
3.001385	0.0541	23,067,841.060009
3.002287	0.0541	22,704,360.372673
3.003188	0.0541	22,471,908.946991
3.004088	0.054	22,347,589.132501
3.004990	0.0541	22,479,252.508661
3.005892	0.0541	22,904,766.224133
3.006792	0.054	23,224,620.426273
3.007693	0.0541	23,244,469.532580
3.008595	0.0541	23,304,045.896903
3.009495	0.054	23,493,622.619292
3.010397	0.0541	23,502,276.178337
3.011298	0.0541	23,356,799.789159
3.012198	0.054	23,299,350.294880
3.013100	0.0541	23,533,411.976979
3.014002	0.0541	23,748,340.092635
3.014902	0.054	23,643,438.811838
3.015803	0.0541	23,450,411.544564
3.016705	0.0541	23,336,020.395481
3.017607	0.0541	23,299,326.127456
3.018507	0.054	23,117,260.435734
3.019408	0.0541	22,906,512.415004
3.020310	0.0541	22,933,710.612344
3.021210	0.054	23,016,060.485728
3.022112	0.0541	23,260,132.511680
3.023013	0.0541	23,747,531.219698
3.023913	0.054	24,083,778.719066
3.024815	0.0541	24,084,473.933610
3.025717	0.0541	24,085,490.719043
3.026617	0.054	24,246,920.156980
3.027518	0.0541	24,287,194.350753
3.028420	0.0541	24,049,297.421494
3.029322	0.0541	23,476,445.351446
3.030222	0.054	22,816,950.689181
3.031123	0.0541	22,649,558.631524
3.032025	0.0541	22,985,391.097700
3.032925	0.054	23,343,320.605860
3.033827	0.0541	23,634,400.469367
3.034728	0.0541	23,849,739.803975
3.035628	0.054	23,861,839.977819
3.036530	0.0541	23,735,035.251120
3.037432	0.0541	23,413,548.432678
3.038332	0.054	23,057,695.339524
3.039233	0.0541	22,886,424.523810
3.040135	0.0541	22,683,277.298149
3.041035	0.054	22,485,519.137791
3.041937	0.0541	22,674,578.031949
3.042838	0.0541	23,098,684.629978
3.043740	0.0541	23,455,799.213538
3.044640	0.054	23,639,045.260058
3.045542	0.0541	23,591,455.033494
3.046443	0.0541	23,566,655.357608
3.047343	0.054	23,588,846.638457
3.048245	0.0541	23,793,208.513432
3.049147	0.0541	24,123,766.318687
3.050047	0.054	24,304,991.340843
3.050948	0.0541	24,420,747.750288
3.051850	0.0541	24,244,360.116987
3.052750	0.054	23,862,598.887516
3.053652	0.0541	23,629,699.235338
3.054553	0.0541	23,209,805.039434
3.055453	0.054	22,659,609.402811
3.056355	0.0541	22,478,530.333555
3.057257	0.0541	22,642,063.185777
3.058158	0.0541	23,023,922.054273
3.059058	0.054	23,414,185.814222
3.059960	0.0541	23,810,504.301799
3.060862	0.0541	24,128,978.535035
3.061762	0.054	24,040,153.408808
3.062663	0.0541	23,929,453.971768
3.063565	0.0541	24,241,186.699298
3.064465	0.054	24,855,373.044872
3.065367	0.0541	25,327,298.199453
3.066268	0.0541	25,457,335.997116
3.067168	0.054	25,507,465.652606
3.068070	0.0541	25,558,488.504219
3.068972	0.0541	25,745,121.604953
3.069872	0.054	26,146,292.080612
3.070773	0.0541	26,577,320.805459
3.071675	0.0541	26,853,246.878048
3.072577	0.0541	27,106,206.021642
3.073477	0.054	27,314,996.305058
3.074378	0.0541	27,004,960.763802
3.075280	0.0541	26,470,151.284597
3.076180	0.054	26,272,224.618404
3.077082	0.0541	26,313,693.742291
3.077983	0.0541	26,254,578.137765
3.078883	0.054	26,214,601.389669
3.079785	0.0541	26,729,806.919674
3.080687	0.0541	27,667,409.042939
3.081587	0.054	28,435,667.594298
3.082488	0.0541	28,722,724.012866
3.083390	0.0541	28,569,283.695540
3.084290	0.054	28,248,554.879685
3.085192	0.0541	27,807,214.294727
3.086093	0.0541	27,433,602.475546
3.086995	0.0541	27,450,184.590214
3.087895	0.054	27,579,145.314803
3.088797	0.0541	27,450,333.254027
3.089698	0.0541	27,039,700.777714
3.090598	0.054	26,611,641.257556
3.091500	0.0541	26,132,814.824739
3.092402	0.0541	25,398,378.299655
3.093302	0.054	24,917,466.744225
3.094203	0.0541	24,757,217.561915
3.095105	0.0541	24,591,512.716090
3.096005	0.054	24,527,753.010208
3.096907	0.0541	24,380,218.810198
3.097808	0.0541	24,262,890.175048
3.098708	0.054	24,565,154.337971
3.099610	0.0541	24,885,473.347522
3.100512	0.0541	24,799,237.307374
3.101413	0.0541	24,526,577.311540
3.102313	0.054	24,479,610.585187
3.103215	0.0541	24,683,943.428264
3.104117	0.0541	24,793,391.809097
3.105017	0.054	24,507,383.191315
3.105918	0.0541	24,073,167.964160
3.106820	0.0541	24,040,068.926917
3.107720	0.054	24,042,254.388362
3.108622	0.0541	23,654,313.407859
3.109523	0.0541	23,283,039.400516
3.110423	0.054	23,180,393.344737
3.111325	0.0541	23,145,151.166689
3.112227	0.0541	23,076,332.530812
3.113127	0.054	23,097,917.583105
3.114028	0.0541	23,166,657.415706
3.114930	0.0541	23,166,334.934028
3.115832	0.0541	22,982,401.698218
3.116732	0.054	22,783,275.622197
3.117633	0.0541	22,774,839.414499
3.118535	0.0541	22,742,833.715613
3.119435	0.054	22,761,672.944365
3.120337	0.0541	22,883,312.060993
3.121238	0.0541	22,924,745.380289
3.122138	0.054	22,773,307.300962
3.123040	0.0541	22,408,607.333413
3.123942	0.0541	22,174,327.156798
3.124842	0.054	22,344,540.753644
3.125743	0.0541	22,708,877.496944
3.126645	0.0541	23,092,841.714936
3.127545	0.054	23,479,253.890339
3.128447	0.0541	23,680,037.728838
3.129348	0.0541	23,744,753.290642
3.130250	0.0541	23,449,771.675667
3.131150	0.054	22,606,357.842897
3.132052	0.0541	21,995,911.362878
3.132953	0.0541	22,132,148.359974
3.133853	0.054	22,462,731.662856
3.134755	0.0541	22,524,122.213089
3.135657	0.0541	22,396,953.621002
3.136557	0.054	22,135,410.981092
3.137458	0.0541	21,994,733.824533
3.138360	0.0541	22,154,081.465959
3.139260	0.054	22,431,302.874550
3.140162	0.0541	22,747,029.348358
3.141063	0.0541	23,050,343.884274
3.141963	0.054	23,110,180.146106
3.142865	0.0541	23,023,216.636840
3.143767	0.0541	22,913,938.115477
3.144668	0.0541	22,653,881.832520
3.145568	0.054	22,500,568.154453
3.146470	0.0541	22,421,151.772253
3.147372	0.0541	22,190,629.992176
3.148272	0.054	22,115,088.893573
