URL	chrom://isq7ci1912004/ChromeleonLocal/AK Simat/2024/PVC Lina/2024-02_Vorversuche/2024-02_PVC-Tischde.seq/220.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024-02_PVC-Tischde
Name	PVC-Tischdecke µC A 0,2g 50C 30min Split 1:20
Number	2
Position	66
Comment	ODP Lina
Processing Method	MS Quantitative
Instrument Method	manualTD-WAX-MS-O_L1
Type	Calibration Standard
Status	Finished
Inject Time	2/21/2024 9:15:20 AM +01:00
Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033905
Time Max. (min)	50.003447
Data Points	55452
Detector	MSDevice
Generating Data System	Chromeleon 7.2.10 Build 23925 (cfd1e7af542fd56c07b8e0c2791055c459cfcf14)
Exporting Data System	Chromeleon 7.2.10.0
Operator	ISQ7000
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	13,079,911.128393
Signal Max.	5,872,703,630.459210
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.054
Max. Step (s)	0.0541
Average Step (s)	0.05406886

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.137538	0.0541	18,133,776.825772
0.138438	0.054	18,127,211.837931
0.139340	0.0541	17,842,585.596810
0.140242	0.0541	17,425,150.711693
0.141142	0.054	17,239,973.406533
0.142043	0.0541	17,449,143.637959
0.142945	0.0541	17,750,930.877970
0.143845	0.054	17,857,539.619545
0.144747	0.0541	17,861,323.974319
0.145648	0.0541	17,932,419.920346
0.146548	0.054	18,029,859.499179
0.147450	0.0541	18,224,452.025123
0.148352	0.0541	18,594,736.824831
0.149252	0.054	18,958,783.124161
0.150153	0.0541	19,264,825.635598
0.151055	0.0541	19,557,070.576855
0.151957	0.0541	19,482,228.146323
0.152857	0.054	18,941,239.586250
0.153758	0.0541	18,478,586.479018
0.154660	0.0541	18,230,209.080292
0.155560	0.054	17,898,880.246704
0.156462	0.0541	17,674,050.262117
0.157363	0.0541	17,730,780.500447
0.158263	0.054	18,021,283.439296
0.159165	0.0541	18,428,717.584936
0.160067	0.0541	18,448,839.710724
0.160967	0.054	18,076,121.950794
0.161868	0.0541	17,844,159.068839
0.162770	0.0541	17,792,773.006634
0.163672	0.0541	17,924,818.588429
0.164572	0.054	18,222,974.027428
0.165473	0.0541	18,291,875.337998
0.166375	0.0541	18,168,958.104139
0.167275	0.054	18,106,129.763148
0.168177	0.0541	18,185,687.002329
0.169078	0.0541	18,385,757.823376
0.169978	0.054	18,429,778.001089
0.170880	0.0541	18,156,508.971573
0.171782	0.0541	17,795,125.563729
0.172682	0.054	17,636,884.787836
0.173583	0.0541	17,661,175.060653
0.174485	0.0541	17,679,788.058978
0.175385	0.054	17,592,056.963437
0.176287	0.0541	17,535,365.241942
0.177188	0.0541	17,640,747.081453
0.178090	0.0541	17,839,751.153512
0.178990	0.054	18,045,313.356186
0.179892	0.0541	18,108,904.957575
0.180793	0.0541	18,074,829.823311
0.181693	0.054	18,038,775.260731
0.182595	0.0541	18,036,812.091247
0.183497	0.0541	18,099,080.558231
0.184397	0.054	18,117,948.925475
0.185298	0.0541	17,989,144.867364
0.186200	0.0541	17,783,669.669892
0.187100	0.054	17,897,076.215360
0.188002	0.0541	18,248,119.123074
0.188903	0.0541	18,408,334.805562
0.189803	0.054	18,325,725.797426
0.190705	0.0541	18,100,118.006721
0.191607	0.0541	17,927,759.455771
0.192508	0.0541	17,864,865.039585
0.193408	0.054	17,850,088.604592
0.194310	0.0541	17,835,545.331240
0.195212	0.0541	17,832,065.620557
0.196112	0.054	17,871,112.514657
0.197013	0.0541	17,905,036.988203
0.197915	0.0541	17,884,829.821658
0.198815	0.054	17,814,425.632983
0.199717	0.0541	17,919,521.536525
0.200618	0.0541	18,131,831.958216
0.201518	0.054	18,143,192.224988
0.202420	0.0541	18,115,705.831090
0.203322	0.0541	18,184,302.826673
0.204223	0.0541	18,147,658.719375
0.205123	0.054	18,150,828.635086
0.206025	0.0541	18,267,633.984207
0.206927	0.0541	18,350,440.709550
0.207827	0.054	18,514,997.731462
0.208728	0.0541	18,662,176.381827
0.209630	0.0541	18,696,606.510703
0.210530	0.054	18,618,185.858294
0.211432	0.0541	18,417,978.609219
0.212333	0.0541	18,212,912.179305
0.213233	0.054	18,077,668.625136
0.214135	0.0541	18,049,332.565194
0.215037	0.0541	18,086,314.098251
0.215937	0.054	18,065,500.038926
0.216838	0.0541	18,046,885.536998
0.217740	0.0541	18,231,794.883809
0.218642	0.0541	18,459,163.913297
0.219542	0.054	18,567,018.158078
0.220443	0.0541	18,610,264.733206
0.221345	0.0541	18,481,533.337185
0.222245	0.054	18,208,085.331212
0.223147	0.0541	18,029,486.437550
0.224048	0.0541	18,029,501.594800
0.224948	0.054	18,064,797.372197
0.225850	0.0541	18,162,992.290350
0.226752	0.0541	18,388,224.211031
0.227652	0.054	18,426,720.167771
0.228553	0.0541	18,286,973.447629
0.229455	0.0541	18,249,639.770193
0.230355	0.054	18,162,239.159835
0.231257	0.0541	18,030,429.214823
0.232158	0.0541	18,235,758.045085
0.233060	0.0541	18,646,252.964650
0.233960	0.054	18,731,512.532898
0.234862	0.0541	18,405,311.398398
0.235763	0.0541	18,133,058.967593
0.236663	0.054	18,143,174.472871
0.237565	0.0541	18,189,334.279892
0.238467	0.0541	18,170,418.367837
0.239367	0.054	18,090,882.085574
0.240268	0.0541	18,096,007.186899
0.241170	0.0541	18,212,525.191418
0.242070	0.054	18,311,629.098922
0.242972	0.0541	18,391,229.369999
0.243873	0.0541	18,544,763.479296
0.244773	0.054	18,822,239.847490
0.245675	0.0541	19,018,381.515672
0.246577	0.0541	19,119,455.866578
0.247478	0.0541	19,093,572.482461
0.248378	0.054	18,900,949.981267
0.249280	0.0541	18,739,302.807387
0.250182	0.0541	18,624,319.441899
0.251082	0.054	18,501,474.434928
0.251983	0.0541	18,335,131.840187
0.252885	0.0541	18,132,491.026435
0.253785	0.054	17,926,191.332127
0.254687	0.0541	17,669,293.908742
0.255588	0.0541	17,493,411.145914
0.256488	0.054	17,457,601.882973
0.257390	0.0541	17,520,787.116700
0.258292	0.0541	17,880,706.060168
0.259192	0.054	18,447,426.366275
0.260093	0.0541	18,835,514.771460
0.260995	0.0541	18,925,308.481141
0.261897	0.0541	19,001,455.764339
0.262797	0.054	19,085,284.571404
0.263698	0.0541	18,884,097.177299
0.264600	0.0541	18,521,821.104604
0.265500	0.054	18,344,713.950209
0.266402	0.0541	18,425,886.731629
0.267303	0.0541	18,523,075.495422
0.268203	0.054	18,518,273.397420
0.269105	0.0541	18,423,357.194614
0.270007	0.0541	18,309,041.717373
0.270907	0.054	18,218,864.257481
0.271808	0.0541	18,193,725.882694
0.272710	0.0541	18,345,853.275522
0.273612	0.0541	18,463,601.025799
0.274512	0.054	18,370,621.507136
0.275413	0.0541	18,134,258.024533
0.276315	0.0541	17,929,307.918372
0.277215	0.054	17,873,084.260504
0.278117	0.0541	17,902,359.285967
0.279018	0.0541	18,029,503.469372
0.279918	0.054	18,127,711.680254
0.280820	0.0541	18,131,955.103120
0.281722	0.0541	18,129,998.532336
0.282622	0.054	18,029,431.945782
0.283523	0.0541	17,792,808.845916
0.284425	0.0541	17,663,276.989464
0.285325	0.054	17,784,102.952439
0.286227	0.0541	17,945,356.516784
0.287128	0.0541	18,046,528.804186
0.288030	0.0541	18,113,058.844757
0.288930	0.054	18,125,205.954582
0.289832	0.0541	18,032,358.291847
0.290733	0.0541	17,806,847.150353
0.291633	0.054	17,728,391.406315
0.292535	0.0541	17,931,294.925844
0.293437	0.0541	18,087,395.813048
0.294337	0.054	18,007,926.202851
0.295238	0.0541	18,026,103.259900
0.296140	0.0541	18,184,542.060790
0.297040	0.054	18,022,623.266246
0.297942	0.0541	17,741,766.084627
0.298843	0.0541	17,721,453.458908
0.299743	0.054	17,675,324.393012
0.300645	0.0541	17,312,449.592455
0.301547	0.0541	17,002,763.090511
0.302448	0.0541	17,165,572.023458
0.303348	0.054	17,713,932.718121
0.304250	0.0541	18,309,818.470877
0.305152	0.0541	18,598,555.326936
0.306052	0.054	18,530,785.636950
0.306953	0.0541	18,374,142.772020
0.307855	0.0541	18,481,118.465831
0.308755	0.054	18,688,690.858956
0.309657	0.0541	18,701,650.286250
0.310558	0.0541	18,860,232.976250
0.311458	0.054	19,114,518.781397
0.312360	0.0541	18,939,878.881648
0.313262	0.0541	18,607,371.861371
0.314162	0.054	18,424,220.301058
0.315063	0.0541	18,149,007.833195
0.315965	0.0541	17,798,984.132524
0.316867	0.0541	17,671,969.944795
0.317767	0.054	17,806,367.166311
0.318668	0.0541	17,863,051.712215
0.319570	0.0541	17,868,352.330454
0.320470	0.054	17,986,008.985201
0.321372	0.0541	18,135,618.184879
0.322273	0.0541	18,251,474.007465
0.323173	0.054	18,173,412.374654
0.324075	0.0541	18,052,802.997989
0.324977	0.0541	18,146,741.815450
0.325877	0.054	18,180,215.240270
0.326778	0.0541	17,999,371.104405
0.327680	0.0541	17,922,846.437954
0.328582	0.0541	18,107,593.257424
0.329482	0.054	18,315,298.253682
0.330383	0.0541	18,297,255.188857
0.331285	0.0541	18,015,035.327420
0.332185	0.054	17,787,616.056233
0.333087	0.0541	17,940,263.387662
0.333988	0.0541	18,016,081.866967
0.334888	0.054	17,885,328.913871
0.335790	0.0541	18,067,061.465729
0.336692	0.0541	18,401,013.163886
0.337592	0.054	18,555,701.209411
0.338493	0.0541	18,479,261.815409
0.339395	0.0541	18,282,933.626480
0.340295	0.054	18,232,415.149185
0.341197	0.0541	18,341,133.772100
0.342098	0.0541	18,372,510.817815
0.343000	0.0541	18,261,253.480474
0.343900	0.054	18,231,373.611308
0.344802	0.0541	18,251,128.581642
0.345703	0.0541	18,033,092.549690
0.346603	0.054	17,793,263.780927
0.347505	0.0541	17,857,158.901775
0.348407	0.0541	17,936,847.798406
0.349307	0.054	17,914,783.463990
0.350208	0.0541	18,031,831.803927
0.351110	0.0541	18,173,491.172894
0.352010	0.054	18,184,007.206735
0.352912	0.0541	18,051,563.634680
0.353813	0.0541	17,906,899.013395
0.354713	0.054	17,906,755.248786
0.355615	0.0541	17,915,307.233728
0.356517	0.0541	18,024,922.986251
0.357418	0.0541	18,326,914.110384
0.358318	0.054	18,435,905.620945
0.359220	0.0541	18,314,212.620305
0.360122	0.0541	18,211,186.928557
0.361022	0.054	18,096,842.442128
0.361923	0.0541	17,847,680.292951
0.362825	0.0541	17,556,194.983126
0.363725	0.054	17,537,393.737866
0.364627	0.0541	17,706,427.367366
