RI,Value
1138.38,4053
1138.524,4943
1138.668,3833
1138.812,4641
1138.955,4574
1139.099,4299
1139.291,4847
1139.435,3818
1139.578,4483
1139.722,3994
1139.866,4476
1140.01,4403
1140.153,3717
1140.345,3997
1140.489,3487
1140.632,4171
1140.776,4268
1140.92,3548
1141.064,3563
1141.255,4445
1141.399,3238
1141.543,3464
1141.687,3536
1141.83,3004
1141.974,2982
1142.166,3195
1142.31,2675
1142.453,3530
1142.597,2870
1142.741,3239
1142.885,3052
1143.076,3343
1143.22,3326
1143.364,3423
1143.507,3625
1143.651,2927
1143.795,2678
1143.987,3987
1144.13,2848
1144.274,3470
1144.418,3226
1144.562,3445
1144.705,3322
1144.897,3339
1145.041,3639
1145.184,4221
1145.328,3530
1145.472,3241
1145.616,4165
1145.759,3797
1145.951,3797
1146.095,4026
1146.239,3832
1146.382,3774
1146.526,3195
1146.67,3799
1146.862,3729
1147.005,3734
1147.149,4255
1147.293,3918
1147.437,3368
1147.58,4212
1147.772,4010
1147.916,3989
1148.059,4210
1148.203,4557
1148.347,4241
1148.491,3544
1148.682,4114
1148.826,3773
1148.97,4149
1149.114,3722
1149.257,4326
1149.401,3928
1149.593,4086
1149.736,3484
1149.88,3810
1150.024,4237
1150.168,4320
1150.311,4399
1150.503,3931
1150.647,3584
1150.791,3868
1150.934,3643
1151.078,4328
1151.222,3409
1151.366,3546
1151.557,3832
1151.701,4510
1151.845,3769
1151.989,3887
1152.132,2893
1152.276,2675
1152.468,3265
1152.611,4641
1152.755,3149
1152.899,3669
1153.043,3078
1153.186,3931
1153.378,3277
1153.522,3137
1153.666,2871
1153.809,3574
1153.953,3272
1154.097,3844
1154.288,3117
1154.432,4299
1154.576,3583
1154.72,3299
1154.863,3577
1155.007,3357
1155.199,3349
1155.343,4106
1155.486,3347
1155.63,2840
1155.774,3396
1155.918,4041
1156.061,3719
1156.253,2924
1156.397,3519
1156.54,2889
1156.684,3206
1156.828,2942
1156.972,3959
1157.163,3596
1157.307,2347
1157.451,4081
1157.595,3002
1157.738,3425
1157.882,3601
1158.074,3020
1158.218,2940
1158.361,3013
1158.505,2393
1158.649,2650
1158.793,3105
1158.984,2712
1159.128,2801
1159.272,3377
1159.415,3877
1159.559,4544
1159.703,4884
1159.895,5456
1160.038,6307
1160.182,7016
1160.326,7811
1160.47,8002
1160.613,9379
1160.805,9400
1160.949,10752
1161.092,9282
1161.236,9723
1161.38,9049
1161.524,8522
1161.667,8342
1161.859,8572
1162.003,7929
1162.147,9339
1162.29,8723
1162.434,9465
1162.578,8273
1162.77,8433
1162.913,6844
1163.057,7798
1163.201,7573
1163.345,7184
1163.488,7435
1163.68,7151
1163.824,7166
1163.967,7135
1164.111,6629
1164.255,6573
1164.399,6982
1164.59,7184
1164.734,6455
1164.878,6038
1165.022,5783
1165.165,5917
1165.309,5898
1165.501,5670
1165.644,5565
1165.788,5673
1165.932,5086
1166.076,4865
1166.219,5380
1166.411,6160
1166.555,5631
1166.699,4825
1166.842,5352
1166.986,4709
1167.13,5444
1167.274,5348
1167.465,5981
1167.609,4914
1167.753,5056
1167.897,4414
1168.04,4124
1168.184,4260
1168.376,4854
1168.519,5447
1168.663,4389
1168.807,4394
1168.951,4810
1169.094,4101
1169.286,4194
1169.43,4478
1169.574,4249
1169.717,4271
1169.861,4261
1170.005,4298
1170.196,4236
1170.34,3517
1170.484,4282
1170.628,4134
1170.771,4128
1170.915,4738
1171.107,4920
1171.251,4318
1171.394,3658
1171.538,3915
1171.682,3739
1171.826,3896
1172.017,3967
1172.161,3177
1172.305,3479
1172.448,2891
1172.592,4203
1172.736,2878
1172.88,3119
1173.071,2565
1173.215,3738
1173.359,3510
1173.503,2750
1173.646,3598
1173.79,3571
1173.982,3476
1174.126,3704
1174.269,3031
1174.413,3493
1174.557,3422
1174.701,3485
1174.892,3722
1175.036,3763
1175.18,3384
1175.323,3558
1175.467,3218
1175.611,3654
1175.803,3240
1175.946,2939
1176.09,3532
1176.234,3405
1176.378,3411
1176.521,2929
1176.713,2923
1176.857,3045
1177.0,3407
1177.144,3241
1177.288,3166
1177.432,3194
1177.575,3670
1177.767,2995
1177.911,3113
1178.055,3400
1178.198,3588
1178.342,4029
1178.486,3613
1178.678,4084
1178.821,4473
1178.965,3933
1179.109,3616
1179.253,4021
1179.396,3052
1179.588,3574
1179.732,3667
1179.875,3439
1180.019,4224
1180.163,4009
1180.307,4235
1180.498,4432
1180.642,4658
1180.786,4080
1180.93,5560
1181.073,4998
1181.217,5111
1181.409,4655
1181.552,4129
1181.696,4457
1181.84,4510
1181.984,4541
1182.127,4771
1182.319,4269
1182.463,4544
1182.607,4686
1182.75,5734
1182.894,5244
1183.038,4535
1183.182,5120
1183.373,5652
1183.517,4947
1183.661,4293
1183.805,4288
1183.948,4431
1184.092,5002
1184.284,4388
1184.427,3918
1184.571,5832
1184.715,4589
1184.859,4288
1185.002,4688
1185.194,5406
1185.338,4829
1185.482,4406
1185.625,4276
1185.769,4368
1185.913,4706
1186.104,4714
1186.248,3434
1186.392,4334
1186.536,4773
1186.679,3761
1186.823,3977
1187.015,3865
1187.159,3743
1187.302,3682
1187.446,3482
1187.59,3566
1187.734,3606
1187.925,4302
1188.069,4119
1188.213,4552
1188.356,4035
1188.5,3942
1188.644,4413
1188.788,4165
1188.979,3659
1189.123,3577
1189.267,4424
1189.411,3575
1189.554,3053
1189.698,3998
1189.89,3323
1190.034,3892
1190.177,3807
1190.321,3446
1190.465,3224
1190.609,3508
1190.8,4087
1190.944,4577
1191.088,4817
1191.231,4953
1191.375,5021
1191.519,4845
1191.711,5897
1191.854,6440
1191.998,5390
1192.142,5564
1192.286,6498
1192.429,5643
1192.621,6483
1192.765,5555
1192.908,6504
1193.052,5703
1193.196,6781
1193.34,7125
1193.531,6338
1193.675,6668
1193.819,6803
1193.963,6691
1194.106,7030
1194.25,7691
1194.394,6302
1194.586,7532
1194.729,7414
1194.873,7019
1195.017,7078
1195.161,7489
1195.304,6915
1195.496,6551
1195.64,6323
1195.783,6313
1195.927,5960
