Alkan;Retentionszeit
6;
7;
8;
9;
10;
11;6
12;8,087
13;10,291
14;12,483
15;14,601
16;16,631
17;18,563
18;20,413
19;22,177
20;23,862
21;25,485
22;27,034
23;28,526
24;29,962
25;31,344
26;32,678
27;33,968
28;35,214
29;36,416
30;37,608
31;38,977
32;40,608
33;42,597
34;
35;
36;
37;
38;
39;
40;
