RI,Value
1180.0479616307,412045
1180.3357314149,337180
1180.5755395683,283070
1180.8633093525,237595
1181.103117506,204995
1181.3429256595,174725
1181.6306954436,157979
1181.8705035971,135505
1182.1582733813,119853
1182.3980815348,117802
1182.6378896882,109110
1182.9256594724,104811
1183.1654676259,104245
1183.4532374101,99455
1183.6930455635,92852
1183.932853717,85584
1184.2206235012,78609
1184.4604316547,71213
1184.7482014388,65103
1184.9880095923,57148
1185.2278177458,53984
1185.51558753,45794
1185.7553956835,41557
1186.0431654676,38576
1186.2829736211,33881
1186.5227817746,32683
1186.8105515588,29746
1187.0503597122,26851
1187.3381294964,27269
1187.5779376499,26988
1187.8177458034,26182
1188.1055155875,25872
1188.345323741,24389
1188.6330935252,24806
1188.8729016787,24149
1189.1127098321,23666
1189.4004796163,25726
1189.6402877698,27781
1189.928057554,32316
1190.1678657074,34668
1190.4076738609,37228
1190.6954436451,38085
1190.9352517986,39743
1191.2230215827,36276
1191.4628297362,34565
1191.7026378897,32553
1191.9904076739,33477
1192.2302158273,31759
1192.5179856115,32431
1192.757793765,31734
1192.9976019185,31106
1193.2853717026,31404
1193.5251798561,31441
1193.8129496403,31204
1194.0527577938,30948
1194.2925659472,32491
1194.5803357314,29950
1194.8201438849,30536
1195.1079136691,31330
1195.3477218225,30968
1195.587529976,29894
1195.8752997602,29401
1196.1151079137,30393
1196.4028776978,31584
1196.6426858513,36389
1196.8824940048,44485
1197.170263789,56531
1197.4100719424,73205
1197.6978417266,85860
1197.9376498801,96163
1198.1774580336,93751
1198.4652278177,91108
1198.7050359712,84580
1198.9928057554,74570
1199.2326139089,71455
1199.4724220624,69968
1199.7601918465,73614
1200.0,78931
1200.272851296,83855
1200.5002273761,88775
1200.7276034561,88803
1201.0004547522,85271
1201.2278308322,74819
1201.5006821282,66317
1201.7280582083,55528
1201.9554342883,45751
1202.2282855844,37704
1202.4556616644,32985
1202.7285129604,28368
1202.9558890405,25411
1203.2287403365,24022
1203.4561164166,21182
1203.6834924966,20797
1203.9563437926,16866
1204.1837198727,17622
1204.4565711687,16617
1204.6839472487,16072
1204.9113233288,14728
1205.1841746248,13347
1205.4115507049,14439
1205.6844020009,14897
1205.9117780809,15278
1206.139154161,14740
1206.412005457,14417
1206.6393815371,14856
1206.9122328331,15801
1207.1396089131,16316
1207.3669849932,17429
1207.6398362892,15387
1207.8672123693,17490
1208.1400636653,16594
1208.3674397453,15465
1208.5948158254,16198
1208.8676671214,14880
1209.0950432015,16284
1209.3678944975,16372
1209.5952705775,16302
1209.8226466576,18103
1210.0954979536,21244
1210.3228740337,23230
1210.5957253297,24985
1210.8231014097,25836
1211.0504774898,25525
1211.3233287858,26019
1211.5507048658,25610
1211.8235561619,27409
1212.0509322419,31045
1212.278308322,34678
1212.551159618,40587
1212.778535698,45124
1213.0513869941,49563
1213.2787630741,49642
1213.5061391542,49614
1213.7789904502,47990
1214.0063665302,45099
1214.2792178263,43813
1214.5065939063,40149
1214.7339699864,36302
1215.0068212824,35306
1215.2341973624,30312
1215.5070486585,30130
1215.7344247385,29017
1215.9618008186,30458
1216.2346521146,32214
1216.4620281946,36769
1216.7348794907,38480
1216.9622555707,39371
1217.1896316508,37829
1217.4624829468,37115
1217.6898590268,35420
1217.9627103229,31440
1218.1900864029,28806
1218.4174624829,27547
1218.690313779,25781
1218.917689859,24571
1219.1905411551,23416
1219.4179172351,25752
1219.6452933151,27603
1219.9181446112,31139
1220.1455206912,38409
1220.4183719873,42779
1220.6457480673,42494
1220.8731241473,44734
1221.1459754434,40501
1221.3733515234,36917
1221.6462028195,31557
1221.8735788995,26325
1222.1009549795,23277
1222.3738062756,21701
1222.6011823556,21252
1222.8740336517,23960
1223.1014097317,31510
1223.3287858117,39562
1223.6016371078,58776
1223.8290131878,74524
1224.1018644839,87990
1224.3292405639,90195
1224.5566166439,85703
1224.82946794,76323
1225.05684402,63661
1225.3296953161,54390
1225.5570713961,42760
1225.7844474761,36527
1226.0572987722,32637
1226.2846748522,29979
1226.5575261482,29230
1226.7849022283,27031
1227.0122783083,25078
1227.2851296044,24035
1227.5125056844,22474
1227.7853569804,21319
1228.0127330605,21705
1228.2855843565,19718
1228.5129604366,20748
1228.7403365166,20018
1229.0131878126,20769
1229.2405638927,18689
1229.5134151887,17102
1229.7407912688,17079
1229.9681673488,16629
1230.2410186448,16936
1230.4683947249,16071
1230.7412460209,14609
1230.968622101,14397
1231.195998181,14410
1231.468849477,15794
1231.6962255571,17001
1231.9690768531,20136
1232.1964529332,20541
1232.4238290132,22947
1232.6966803092,23433
1232.9240563893,23179
1233.1969076853,20816
1233.4242837653,21936
1233.6516598454,20488
1233.9245111414,18012
1234.1518872215,17009
1234.4247385175,16524
1234.6521145975,16986
1234.8794906776,15491
1235.1523419736,14966
1235.3797180537,15880
1235.6525693497,17015
1235.8799454297,19216
1236.1073215098,19258
1236.3801728058,20836
1236.6075488859,21110
1236.8804001819,21245
1237.1077762619,22889
1237.335152342,23811
1237.608003638,25738
1237.8353797181,29396
1238.1082310141,31060
1238.3356070941,33441
1238.5629831742,30922
1238.8358344702,30592
1239.0632105503,26832
1239.3360618463,24915
1239.5634379263,23685
1239.7908140064,23637
1240.0636653024,22584
1240.2910413824,19964
1240.5638926785,20634
1240.7912687585,18947
1241.0186448386,16965
1241.2914961346,18128
1241.5188722146,17918
1241.7917235107,20445
1242.0190995907,23374
1242.2464756708,26660
1242.5193269668,29179
1242.7467030468,31526
1243.0195543429,30590
1243.2469304229,29592
1243.474306503,25882
1243.747157799,23622
1243.974533879,21254
1244.2473851751,20271
1244.4747612551,20313
1244.7021373352,24452
1244.9749886312,27661
1245.2023647112,30977
1245.4752160073,34264
1245.7025920873,36129
1245.9299681673,36833
1246.2028194634,36567
1246.4301955434,32506
1246.7030468395,31403
1246.9304229195,29792
1247.1577989995,27711
1247.4306502956,24666
1247.6580263756,24577
1247.9308776717,22542
1248.1582537517,20715
1248.3856298317,18939
1248.6584811278,18385
1248.8858572078,17515
1249.1587085039,15741
1249.3860845839,16620
1249.6134606639,15258
1249.88631196,15808
1250.11368804,18087
1250.3865393361,21512
1250.6139154161,28421
1250.8412914961,35896
1251.1141427922,44855
1251.3415188722,54455
1251.6143701683,64444
1251.8417462483,73035
1252.0691223283,84474
1252.3419736244,97491
1252.5693497044,110733
1252.8422010005,122871
1253.0695770805,137595
1253.3424283765,147118
1253.5698044566,161127
1253.7971805366,164207
1254.0700318327,167855
1254.2974079127,160150
1254.5702592087,147081
1254.7976352888,134311
1255.0250113688,121053
1255.2978626648,106540
1255.5252387449,95836
1255.7980900409,86722
1256.025466121,76788
1256.252842201,65318
1256.525693497,54746
1256.7530695771,49122
1257.0259208731,41170
1257.2532969532,36066
1257.4806730332,35527
1257.7535243292,33881
1257.9809004093,31165
1258.2537517053,30955
1258.4811277854,30962
1258.7085038654,29835
1258.9813551614,30066
1259.2087312415,28505
1259.4815825375,30761
1259.7089586176,28780
1259.9363346976,29102
1260.2091859936,26237
1260.4365620737,23603
1260.7094133697,21107
1260.9367894497,20831
1261.1641655298,19581
1261.4370168258,19364
1261.6643929059,18042
1261.9372442019,17935
1262.1646202819,19689
1262.391996362,19715
1262.664847658,21629
1262.8922237381,21018
1263.1650750341,22425
1263.3924511141,22662
1263.6198271942,23721
1263.8926784902,26122
1264.1200545703,26855
1264.3929058663,27266
1264.6202819463,26978
1264.8476580264,29024
1265.1205093224,26172
1265.3478854025,26020
1265.6207366985,26261
1265.8481127785,25243
1266.0754888586,24248
1266.3483401546,23594
1266.5757162347,22691
1266.8485675307,22948
1267.0759436107,25781
1267.3033196908,32612
1267.5761709868,37165
1267.8035470668,45421
1268.0763983629,53613
1268.3037744429,55233
1268.531150523,57146
1268.804001819,56575
1269.031377899,55952
1269.3042291951,55245
1269.5316052751,57843
1269.7589813552,58896
1270.0318326512,56241
1270.2592087312,55017
1270.5320600273,52590
1270.7594361073,48202
1270.9868121874,43796
1271.2596634834,39639
1271.4870395634,36777
1271.7598908595,32024
1271.9872669395,29717
1272.2146430196,28326
1272.4874943156,23876
1272.7148703956,25236
1272.9877216917,23407
1273.2150977717,22314
1273.4424738518,19783
1273.7153251478,18480
1273.9427012278,16634
1274.2155525239,15335
1274.4429286039,14905
1274.6703046839,14582
1274.94315598,14021
1275.17053206,15101
1275.4433833561,16021
1275.6707594361,15281
1275.8981355161,16422
1276.1709868122,18158
1276.3983628922,18582
1276.6712141883,18763
1276.8985902683,20141
1277.1714415643,21530
1277.3988176444,21620
1277.6261937244,23874
1277.8990450205,23138
1278.1264211005,23649
1278.3992723965,23279
1278.6266484766,23461
1278.8540245566,21762
1279.1268758527,23288
1279.3542519327,21954
1279.6271032287,23242
1279.8544793088,24130
1280.0818553888,25622
1280.3547066849,29264
1280.5820827649,31396
1280.8549340609,36643
1281.082310141,44764
1281.309686221,53161
1281.5825375171,61802
1281.8099135971,70105
1282.0827648931,83923
1282.3101409732,94914
1282.5375170532,114777
1282.8103683492,147789
1283.0377444293,190974
1283.3105957253,247397
1283.5379718054,304290
1283.7653478854,363989
1284.0381991814,415486
1284.2655752615,454333
1284.5384265575,505063
1284.7658026376,553429
1284.9931787176,611318
1285.2660300136,665796
1285.4934060937,706042
1285.7662573897,708309
1285.9936334698,683309
1286.2210095498,637029
1286.4938608458,568458
1286.7212369259,497250
1286.9940882219,431151
1287.221464302,379031
1287.448840382,332589
1287.721691678,297389
1287.9490677581,268395
1288.2219190541,242797
1288.4492951342,217927
1288.6766712142,192680
1288.9495225102,166265
1289.1768985903,140738
1289.4497498863,113760
1289.6771259663,97744
1289.9045020464,80094
1290.1773533424,67559
1290.4047294225,57658
1290.6775807185,48772
1290.9049567985,42652
1291.1323328786,38791
1291.4051841746,36025
1291.6325602547,33694
1291.9054115507,32353
1292.1327876307,35167
1292.3601637108,33857
1292.6330150068,34609
1292.8603910869,34458
1293.1332423829,33709
1293.3606184629,32996
1293.587994543,29984
1293.860845839,29418
1294.0882219191,28775
1294.3610732151,28692
1294.5884492951,32423
1294.8158253752,34788
1295.0886766712,39314
1295.3160527513,41761
1295.5889040473,41025
1295.8162801273,42595
1296.0436562074,41407
1296.3165075034,42037
1296.5438835834,38684
1296.8167348795,38812
1297.0441109595,36659
1297.2714870396,37946
1297.5443383356,37855
1297.7717144156,39720
1298.0445657117,39048
1298.2719417917,39156
1298.4993178718,39225
1298.7721691678,39169
1298.9995452478,40376
1299.2723965439,41511
1299.4997726239,46347
1299.727148704,53142
1300.0,59300
1300.2285191956,60581
1300.5027422303,62637
1300.731261426,59680
1300.9597806216,55697
1301.2340036563,49414
1301.4625228519,42759
1301.7367458867,39436
1301.9652650823,31833
1302.239488117,32226
1302.4680073126,29934
1302.6965265082,30268
1302.970749543,31528
1303.1992687386,29856
1303.4734917733,29021
1303.7020109689,28230
1303.9305301645,26390
1304.2047531993,24920
1304.4332723949,28178
1304.7074954296,30710
1304.9360146252,38206
1305.1645338208,45569
1305.4387568556,58397
1305.6672760512,69976
1305.9414990859,80738
1306.1700182815,94956
1306.3985374771,105412
1306.6727605119,116935
1306.9012797075,123405
1307.1755027422,121729
1307.4040219378,113132
1307.6325411335,99015
1307.9067641682,82515
1308.1352833638,70257
1308.4095063985,56088
1308.6380255941,48455
1308.8665447898,45406
1309.1407678245,45522
1309.3692870201,46309
1309.6435100548,46816
1309.8720292505,47875
1310.1005484461,45666
1310.3747714808,41783
1310.6032906764,39859
1310.8775137112,37508
1311.1060329068,34939
1311.3345521024,29559
1311.6087751371,26324
1311.8372943327,24179
1312.1115173675,21693
1312.3400365631,19736
1312.5685557587,16526
1312.8427787934,16505
1313.071297989,16333
1313.3455210238,17728
1313.5740402194,23341
1313.802559415,32423
1314.0767824497,45344
1314.3053016453,63653
1314.5795246801,79804
1314.8080438757,91200
1315.0365630713,95284
1315.310786106,90122
1315.5393053016,79540
1315.8135283364,63031
1316.042047532,50369
1316.2705667276,38977
1316.5447897623,32002
1316.773308958,27198
1317.0475319927,23476
1317.2760511883,23804
1317.5045703839,23635
1317.7787934186,25928
1318.0073126143,28351
1318.281535649,31070
1318.5100548446,33591
1318.7385740402,33320
1319.012797075,31157
1319.2413162706,28294
1319.5155393053,25999
1319.7440585009,23873
1319.9725776965,24516
1320.2468007313,24266
1320.4753199269,23136
1320.7495429616,24458
1320.9780621572,26035
1321.2065813528,27663
1321.4808043876,27118
1321.7093235832,28377
1321.9835466179,28284
1322.2120658135,27153
1322.4405850091,28637
1322.7148080439,26030
1322.9433272395,23225
1323.2175502742,22404
1323.4460694698,21208
1323.6745886654,20749
1323.9488117002,23138
1324.1773308958,25067
1324.4515539305,32703
1324.6800731261,48455
1324.9085923218,66946
1325.1828153565,91046
1325.4113345521,106380
1325.6855575868,114654
1325.9140767824,115178
1326.1425959781,104576
1326.4168190128,91291
1326.6453382084,68874
1326.9195612431,52803
1327.1480804388,40993
1327.4223034735,30170
1327.6508226691,22882
1327.8793418647,20874
1328.1535648995,17908
1328.3820840951,15591
1328.6563071298,14553
1328.8848263254,14260
1329.113345521,14285
1329.3875685558,14301
1329.6160877514,15272
1329.8903107861,16913
1330.1188299817,17588
1330.3473491773,17295
1330.6215722121,19385
1330.8500914077,17746
1331.1243144424,18804
1331.352833638,20150
1331.5813528336,20018
1331.8555758684,18951
1332.084095064,16991
1332.3583180987,16645
1332.5868372943,15653
1332.8153564899,16014
1333.0895795247,13456
1333.3180987203,13319
1333.592321755,14306
1333.8208409506,14825
1334.0493601463,15945
1334.323583181,16060
1334.5521023766,16789
1334.8263254113,20237
1335.0548446069,25205
1335.2833638026,34010
1335.5575868373,48633
