RI,Value
,18029503.469372
,18127711.680254
,18131955.10312
,18129998.532336
,18029431.945782
,17792808.845916
,17663276.989464
,17784102.952439
,17945356.516784
,18046528.804186
,18113058.844757
,18125205.954582
,18032358.291847
,17806847.150353
,17728391.406315
,17931294.925844
,18087395.813048
,18007926.202851
,18026103.2599
,18184542.06079
,18022623.266246
,17741766.084627
,17721453.458908
,17675324.393012
,17312449.592455
,17002763.090511
,17165572.023458
,17713932.718121
,18309818.470877
,18598555.326936
,18530785.63695
,18374142.77202
,18481118.465831
,18688690.858956
,18701650.28625
,18860232.97625
,19114518.781397
,18939878.881648
,18607371.861371
,18424220.301058
,18149007.833195
,17798984.132524
,17671969.944795
,17806367.166311
,17863051.712215
,17868352.330454
,17986008.985201
,18135618.184879
,18251474.007465
,18173412.374654
,18052802.997989
,18146741.81545
,18180215.24027
,17999371.104405
,17922846.437954
,18107593.257424
,18315298.253682
,18297255.188857
,18015035.32742
,17787616.056233
,17940263.387662
,18016081.866967
,17885328.913871
,18067061.465729
,18401013.163886
,18555701.209411
,18479261.815409
,18282933.62648
,18232415.149185
,18341133.7721
,18372510.817815
,18261253.480474
,18231373.611308
,18251128.581642
,18033092.54969
,17793263.780927
,17857158.901775
,17936847.798406
,17914783.46399
,18031831.803927
,18173491.172894
,18184007.206735
,18051563.63468
,17906899.013395
,17906755.248786
,17915307.233728
,18024922.986251
,18326914.110384
,18435905.620945
,18314212.620305
,18211186.928557
,18096842.442128
,17847680.292951
,17556194.983126
,17537393.737866
,17706427.367366
,17889034.508515
,18117773.549703
,18331917.984715
,18363909.294419
,18075257.869559
,17799660.214932
,17797139.894135
,17947724.012235
,18093768.545231
,18089809.02507
,18008126.069379
,17962305.163477
,18130498.325019
,18433476.175502
,18400354.713519
,18185706.924976
,18032494.492951
,17796876.156929
,17707394.98428
,17918335.204476
,18151193.296635
,18258804.983445
,18323743.684783
,18322848.799259
,18285565.025056
,18255597.734096
,18282834.792434
,18316998.832398
,18268882.730853
,18223059.94817
,18040452.403854
,17879646.229423
,17908466.390052
,17999828.119991
,18274193.824586
,18554966.012844
,18591329.523832
,18591212.645581
,18607308.568903
,18448722.923045
,18340731.063895
,18506679.46288
,18578299.97946
,18328182.173277
,18075417.456616
,17994317.589475
,17845430.214603
,17555466.46673
,17325010.97754
,17200993.750837
,17180524.965313
,17381539.194375
,17708318.721885
,17726712.195443
,17583665.391757
,17785532.679625
,18146122.764979
,18228415.686384
,18061188.985658
,17916124.048892
,17895058.91481
,17866219.022229
,17611849.703704
,17260937.240745
,16915093.360141
,16773777.255684
,17003395.327367
,17263580.191858
,17494754.144265
,17710734.617485
,17760620.87142
,17709328.933617
,17876387.389097
,18369296.544478
,18764987.298053
,18797366.185732
,18627097.233281
,18478096.558293
,18381379.082419
,18282923.41369
,18166925.415175
,18088872.876105
,18198226.899623
,18416727.080301
,18521238.617459
,18498031.90339
,18508022.119836
,18364810.197362
,17882840.564583
,17499977.200821
,17524823.47302
,17749669.531837
,17990306.85627
,18285582.505936
,18620787.651289
,18786647.012402
,18675106.955774
,18479816.589415
,18276767.259875
,18117640.460013
,18135317.614645
,18126502.418256
,17892771.142957
,17663035.510928
,17539962.080416
,17310138.69003
,17218187.151683
,17517762.421422
,17716499.143323
,17629674.385788
,17696395.817963
,18003401.050742
,18306350.858518
,18511996.028643
,18640091.269168
,18519566.164706
,18225498.286085
,18018905.089733
,17985307.343379
,18348107.769344
,18986170.443292
,19399318.479076
,19437450.021335
,19305773.931844
,19040604.812285
,18540670.706646
,18076176.713276
,17862077.429588
,17839533.26936
,17968016.928237
,18170548.472015
,18408661.672579
,18494276.344157
,18465879.24838
,18537626.722252
,18536461.439117
